Index,Type,Time,Desceiption
535,MSG,333631148,forcedmemory_end_pic_3
536,MSG,333631148,!V CLEAR 0 0 0
537,MSG,333626153,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
538,MSG,333626153,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1280 720 576 320
539,MSG,333626153,forcedmemory_start_pic_3
540,MSG,333626120,memory_iti_end
541,MSG,333624110,memory_iti_start
542,MSG,333624110,forcedmemory_end_pic_2
543,MSG,333624110,!V CLEAR 0 0 0
544,MSG,333619109,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
545,MSG,333619109,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png 1280 720 576 320
546,MSG,333619109,forcedmemory_start_pic_2
547,MSG,333619070,memory_iti_end
548,MSG,333617060,memory_iti_start
549,MSG,333617060,forcedmemory_end_pic_1
550,MSG,333617060,!V CLEAR 0 0 0
551,MSG,333612058,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
552,MSG,333612058,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 720 576 320
553,MSG,333612058,forcedmemory_start_pic_1
554,MSG,333612019,memory_iti_end
555,MSG,333610009,memory_iti_start
556,MSG,333610009,forcedmemory_end_pic_0
557,MSG,333610009,!V CLEAR 0 0 0
558,MSG,333605015,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
559,MSG,333605015,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 720 576 320
560,MSG,333605015,forcedmemory_start_pic_0
561,MSG,333604981,selfpaced_start_m_end
562,MSG,333603697,selfpaced_start_m_start
563,MSG,333603697,EYE_USED 1 RIGHT
